n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?@?C??K????C,PhCP@?__??_@?@?C??K????C,leaf_degree_two,pendant_path_fold,1343,12886,1752,17005,261443,15379/138408
17,PhCP?C__??_@?@?C??K??_??,PhCP@?__??_@?@?C??K??_??,leaf_degree_two,pendant_path_fold,1758,17062,2297,22524,405778,202889/2019063
17,PhCP?C__??_@?@?C?A??_?C?,PhCP@?__??_@?@?C?A??_?C?,leaf_degree_two,pendant_path_fold,2225,21900,2894,28835,779275,31171/257566
17,PhCP?C__??_@?@?C?A??__??,PhCP@?__??_@?@?C?A??__??,leaf_degree_two,pendant_path_fold,2225,21958,2904,28964,678868,169717/1615350
17,PhCP?C__??_@?@?C?AC????C,PhCP@?__??_@?@?C?AC????C,leaf_degree_two,pendant_path_fold,1730,16858,2259,22249,408548,204274/1954035
17,PhCP?C__??_@?@?C?AC??_??,PhCP@?__??_@?@?C?AC??_??,leaf_degree_two,pendant_path_fold,2273,22354,2972,29512,644688,161172/1688839
17,PhCP?C__??_@?@?CO???@??C,PhCP@?__??_@?@?CO???@??C,leaf_degree_two,pendant_path_fold,1244,11833,1623,15619,225077,225077/2019012
17,PhCP?C__??_@?@?CO???@??G,PhCP@?__??_@?@?CO???@??G,leaf_degree_two,pendant_path_fold,1532,14851,2001,19606,319541,319541/3065532
17,PhCP?C__??_@?@?CO???@_??,PhCP@?__??_@?@?CO???@_??,leaf_degree_two,pendant_path_fold,1818,17576,2377,23210,417628,208814/2160693
17,PhCP?C__??_@?@?CO?C??_??,PhCP@?__??_@?@?CO?C??_??,leaf_degree_two,pendant_path_fold,2393,23322,3132,30804,669468,55789/624573
17,PhCP?C__??_@?@_???G?@??C,PhCP@?__??_@?@_???G?@??C,leaf_degree_two,pendant_path_fold,891,8182,1160,10797,129007,129007/1033560
17,PhCP?C__??_@?@_???G?@??G,PhCP@?__??_@?@_???G?@??G,leaf_degree_two,pendant_path_fold,1052,9915,1371,13085,171955,171955/1442292
17,PhCP?C__??_@?@_???G?@??O,PhCP@?__??_@?@_???G?@??O,leaf_degree_two,pendant_path_fold,1211,11482,1580,15157,213567,213567/1913380
17,PhCP?C__??_@?@_???G?@_??,PhCP@?__??_@?@_???G?@_??,leaf_degree_two,pendant_path_fold,1368,12883,1787,17013,251863,251863/2444616
17,PhCP?C__??_@?@_???G?A??O,PhCP@?__??_@?@_???G?A??O,leaf_degree_two,pendant_path_fold,1532,14785,2001,19520,319855,319855/3065532
17,PhCP?C__??_@?@_???G?A_??,PhCP@?__??_@?@_???G?A_??,leaf_degree_two,pendant_path_fold,1688,16183,2207,21373,361743,361743/3725416
17,PhCP?C__??_@?@_???K????C,PhCP@?__??_@?@_???K????C,leaf_degree_two,pendant_path_fold,1527,14450,1996,19085,300595,300595/3047892
17,PhCP?C__??_@?@_???K??_??,PhCP@?__??_@?@_???K??_??,leaf_degree_two,pendant_path_fold,2006,19158,2625,25308,478098,79683/877625
17,PhCP?C__??_@?@_?O?C??_??,PhCP@?__??_@?@_?O?C??_??,leaf_degree_two,pendant_path_fold,2645,25436,3464,33606,777566,388783/4581140
17,PhCP?C__??_@?A?A?@??O?A?,PhCP@?__??_@?A?A?@??O?A?,leaf_degree_two,pendant_path_fold,2318,23423,2997,30749,1077451,1077451/6947046
